TszKitLo40,13,minor,0.100000,https://github.com/pingcap/tidb/issues/21944,https://github.com/pingcap/tidb/pull/21948,2020-12-23 12:09:01 +0000 UTC
TszKitLo40,13,moderate,1.000000,https://github.com/pingcap/tidb/issues/15563,https://github.com/pingcap/tidb/pull/21783,2020-12-18 08:29:36 +0000 UTC
TszKitLo40,13,major,3.000000,https://github.com/pingcap/tidb/issues/20995,https://github.com/pingcap/tidb/pull/21652,2020-12-11 08:47:53 +0000 UTC
TszKitLo40,13,moderate,1.000000,https://github.com/pingcap/tidb/issues/16939,https://github.com/pingcap/tidb/pull/21648,2020-12-11 06:26:52 +0000 UTC
TszKitLo40,13,moderate,1.000000,https://github.com/pingcap/tidb/issues/21574,https://github.com/pingcap/tidb/pull/21588,2020-12-10 08:47:22 +0000 UTC
TszKitLo40,13,major,3.000000,https://github.com/pingcap/tidb/issues/20928,https://github.com/pingcap/tidb/pull/20959,2020-11-23 07:43:15 +0000 UTC
TszKitLo40,13,major,3.000000,https://github.com/pingcap/tidb/issues/20840,https://github.com/pingcap/tidb/pull/20858,2020-11-11 11:38:24 +0000 UTC
TszKitLo40,13,moderate,1.000000,https://github.com/pingcap/tidb/issues/20751,https://github.com/pingcap/tidb/pull/20813,2020-11-05 06:08:02 +0000 UTC
TszKitLo40,13,major,3.000000,https://github.com/pingcap/tidb/issues/20724,https://github.com/pingcap/tidb/pull/20786,2020-11-04 09:07:17 +0000 UTC
blacktear23,10,moderate,1.000000,https://github.com/pingcap/tidb/issues/22034,https://github.com/pingcap/tidb/pull/22036,2020-12-29 06:35:14 +0000 UTC
blacktear23,10,major,3.000000,https://github.com/pingcap/tidb/issues/21082,https://github.com/pingcap/tidb/pull/21110,2020-12-09 07:56:07 +0000 UTC
blacktear23,10,major,3.000000,https://github.com/pingcap/tidb/issues/20732,https://github.com/pingcap/tidb/pull/20789,2020-12-02 12:15:19 +0000 UTC
blacktear23,10,critical,10.000000,https://github.com/pingcap/tidb/issues/21204,https://github.com/pingcap/tidb/pull/21124,2020-11-24 03:54:55 +0000 UTC
blacktear23,10,critical,10.000000,https://github.com/pingcap/tidb/issues/21123,https://github.com/pingcap/tidb/pull/21124,2020-11-24 03:54:55 +0000 UTC
blacktear23,10,major,3.000000,https://github.com/pingcap/tidb/issues/20975,https://github.com/pingcap/tidb/pull/20982,2020-11-19 02:58:46 +0000 UTC
blacktear23,10,moderate,1.000000,https://github.com/pingcap/tidb/issues/20979,https://github.com/pingcap/tidb/pull/21016,2020-11-18 11:27:53 +0000 UTC
blacktear23,10,critical,10.000000,https://github.com/pingcap/tidb/issues/21036,https://github.com/pingcap/tidb/pull/21088,2020-11-17 06:09:28 +0000 UTC
blacktear23,10,major,3.000000,https://github.com/pingcap/tidb/issues/20945,https://github.com/pingcap/tidb/pull/20948,2020-11-12 04:12:28 +0000 UTC
blacktear23,10,critical,10.000000,https://github.com/pingcap/tidb/issues/20741,https://github.com/pingcap/tidb/pull/20798,2020-11-11 13:20:54 +0000 UTC
